week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Open,High,Low,Close,Volume,Close_change
2019-03-17,Adam Harrison,Powerball,Ohio State football,New Year's Day,Super Bowl 2024,Jason Kelce retire,Dallas Cowboys,Vince McMahon,Alabama vs Michigan,NFL Games Today,Jim Harbaugh,"Perry, Iowa",Nick Saban retiring,Adan Canto,Oscar nominations 2024,Kansas City Chiefs,NFL playoff picture,Dexter King,Rickey Smiley,Ecuador,Lipid,Penn State football,Super Bowl,Doc Rivers,Pete Carroll,7696.3798828125,7850.10986328125,7642.56982421875,7642.669921875,12231840000,-45.85986328125
2019-03-24,"Perry, Iowa",Jim Harbaugh,Kansas City Chiefs,Jason Kelce retire,Nick Saban retiring,Ohio State football,Alabama vs Michigan,Dallas Cowboys,Adan Canto,Oscar nominations 2024,Powerball,Super Bowl 2024,Vince McMahon,New Year's Day,NFL Games Today,Adam Harrison,Lipid,Ecuador,Rickey Smiley,Super Bowl,Pete Carroll,NFL playoff picture,Doc Rivers,Dexter King,Penn State football,7618.97998046875,7738.169921875,7579.2900390625,7729.31982421875,10720850000,86.64990234375
2019-03-31,Oscar nominations 2024,Jim Harbaugh,NFL Games Today,Ohio State football,Adam Harrison,Jason Kelce retire,Kansas City Chiefs,Nick Saban retiring,Vince McMahon,Dallas Cowboys,Powerball,Adan Canto,Super Bowl 2024,New Year's Day,"Perry, Iowa",Alabama vs Michigan,Pete Carroll,Doc Rivers,Dexter King,Super Bowl,Rickey Smiley,Penn State football,Lipid,NFL playoff picture,Ecuador,7800.240234375,7940.4501953125,7777.08984375,7938.68994140625,11172620000,209.3701171875
2019-04-07,Oscar nominations 2024,Adan Canto,Adam Harrison,Ohio State football,"Perry, Iowa",Super Bowl 2024,Jim Harbaugh,Powerball,Alabama vs Michigan,Vince McMahon,NFL Games Today,Jason Kelce retire,Nick Saban retiring,New Year's Day,Dallas Cowboys,Kansas City Chiefs,NFL playoff picture,Ecuador,Rickey Smiley,Lipid,Penn State football,Doc Rivers,Dexter King,Super Bowl,Pete Carroll,7924.89013671875,7992.08984375,7891.85009765625,7984.16015625,10105020000,45.47021484375
2019-04-14,Alabama vs Michigan,Jim Harbaugh,Dallas Cowboys,"Perry, Iowa",Adan Canto,Vince McMahon,Powerball,Adam Harrison,Ohio State football,New Year's Day,Kansas City Chiefs,Jason Kelce retire,NFL Games Today,Oscar nominations 2024,Nick Saban retiring,Super Bowl 2024,Doc Rivers,Lipid,Pete Carroll,Ecuador,Super Bowl,Penn State football,Dexter King,Rickey Smiley,NFL playoff picture,7987.16015625,8052.39990234375,7933.56982421875,7998.06005859375,8372410000,13.89990234375
2019-04-21,Jim Harbaugh,Kansas City Chiefs,Alabama vs Michigan,New Year's Day,Oscar nominations 2024,Powerball,Dallas Cowboys,Jason Kelce retire,"Perry, Iowa",Adan Canto,Nick Saban retiring,NFL Games Today,Vince McMahon,Ohio State football,Adam Harrison,Super Bowl 2024,NFL playoff picture,Ecuador,Dexter King,Penn State football,Lipid,Rickey Smiley,Doc Rivers,Super Bowl,Pete Carroll,7969.3701171875,8151.83984375,7965.89990234375,8146.39990234375,9989640000,148.33984375
2019-04-28,Adam Harrison,NFL Games Today,Jim Harbaugh,Jason Kelce retire,Ohio State football,New Year's Day,Adan Canto,Kansas City Chiefs,Powerball,Oscar nominations 2024,Alabama vs Michigan,Nick Saban retiring,"Perry, Iowa",Dallas Cowboys,Vince McMahon,Super Bowl 2024,Rickey Smiley,Dexter King,Ecuador,Pete Carroll,NFL playoff picture,Doc Rivers,Super Bowl,Penn State football,Lipid,8147.64990234375,8176.080078125,7976.77001953125,8164.0,10479860000,17.60009765625
2019-05-05,Kansas City Chiefs,Powerball,Dallas Cowboys,Ohio State football,New Year's Day,Alabama vs Michigan,Jim Harbaugh,NFL Games Today,Super Bowl 2024,Vince McMahon,Adam Harrison,Jason Kelce retire,Nick Saban retiring,"Perry, Iowa",Oscar nominations 2024,Adan Canto,Dexter King,Pete Carroll,Rickey Smiley,Penn State football,Ecuador,Lipid,NFL playoff picture,Super Bowl,Doc Rivers,7981.85009765625,8135.5400390625,7759.33984375,7916.93994140625,11562900000,-247.06005859375
2019-05-12,Alabama vs Michigan,Kansas City Chiefs,Super Bowl 2024,Vince McMahon,Adam Harrison,New Year's Day,Oscar nominations 2024,Adan Canto,Jim Harbaugh,"Perry, Iowa",Nick Saban retiring,Jason Kelce retire,Ohio State football,Powerball,NFL Games Today,Dallas Cowboys,Lipid,Ecuador,NFL playoff picture,Doc Rivers,Penn State football,Pete Carroll,Super Bowl,Rickey Smiley,Dexter King,7720.06982421875,7946.22998046875,7627.22021484375,7816.27978515625,10947140000,-100.66015625
2019-05-19,Adan Canto,Powerball,Ohio State football,Oscar nominations 2024,Adam Harrison,Alabama vs Michigan,"Perry, Iowa",Super Bowl 2024,Jim Harbaugh,New Year's Day,Kansas City Chiefs,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Vince McMahon,Jason Kelce retire,Pete Carroll,Penn State football,NFL playoff picture,Ecuador,Rickey Smiley,Dexter King,Doc Rivers,Lipid,Super Bowl,7714.06005859375,7804.43994140625,7585.31982421875,7637.009765625,9971250000,-179.27001953125
2019-05-26,Powerball,Jim Harbaugh,New Year's Day,Nick Saban retiring,NFL Games Today,Ohio State football,Jason Kelce retire,"Perry, Iowa",Kansas City Chiefs,Adan Canto,Alabama vs Michigan,Dallas Cowboys,Vince McMahon,Adam Harrison,Oscar nominations 2024,Super Bowl 2024,Dexter King,NFL playoff picture,Ecuador,Penn State football,Rickey Smiley,Pete Carroll,Super Bowl,Lipid,Doc Rivers,7655.66015625,7693.740234375,7448.22998046875,7453.14990234375,8775190000,-183.85986328125
2019-06-02,New Year's Day,Alabama vs Michigan,"Perry, Iowa",Kansas City Chiefs,Ohio State football,Super Bowl 2024,Jim Harbaugh,Adan Canto,Jason Kelce retire,NFL Games Today,Oscar nominations 2024,Adam Harrison,Powerball,Vince McMahon,Nick Saban retiring,Dallas Cowboys,Dexter King,Ecuador,Super Bowl,Pete Carroll,Doc Rivers,Penn State football,Rickey Smiley,Lipid,NFL playoff picture,7441.2099609375,7767.02001953125,7292.22021484375,7742.10009765625,11261680000,288.9501953125
2019-06-09,Vince McMahon,Jason Kelce retire,Powerball,Ohio State football,Oscar nominations 2024,New Year's Day,"Perry, Iowa",Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Dallas Cowboys,Alabama vs Michigan,Adan Canto,Jim Harbaugh,Nick Saban retiring,NFL Games Today,Super Bowl,Dexter King,NFL playoff picture,Rickey Smiley,Penn State football,Pete Carroll,Ecuador,Doc Rivers,Lipid,7798.8701171875,7909.990234375,7773.97021484375,7796.66015625,9799150000,54.56005859375
2019-06-16,Ohio State football,"Perry, Iowa",Jason Kelce retire,Kansas City Chiefs,NFL Games Today,Powerball,Vince McMahon,Adan Canto,Alabama vs Michigan,Adam Harrison,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,New Year's Day,Oscar nominations 2024,Super Bowl 2024,Doc Rivers,Rickey Smiley,Penn State football,Ecuador,Lipid,Super Bowl,Dexter King,Pete Carroll,NFL playoff picture,7819.43017578125,8088.8798828125,7812.60986328125,8031.7099609375,11246410000,235.0498046875
2019-06-23,Jason Kelce retire,"Perry, Iowa",Super Bowl 2024,New Year's Day,Powerball,Jim Harbaugh,Kansas City Chiefs,Vince McMahon,Adan Canto,Alabama vs Michigan,Ohio State football,Oscar nominations 2024,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Adam Harrison,Rickey Smiley,Doc Rivers,Lipid,Ecuador,Dexter King,Penn State football,Pete Carroll,NFL playoff picture,Super Bowl,8040.580078125,8047.56005859375,7879.14990234375,8006.240234375,12514160000,-25.4697265625
2019-06-30,Super Bowl 2024,Kansas City Chiefs,Vince McMahon,Adam Harrison,Adan Canto,Dallas Cowboys,Powerball,"Perry, Iowa",Nick Saban retiring,NFL Games Today,Ohio State football,Alabama vs Michigan,Jason Kelce retire,Oscar nominations 2024,New Year's Day,Jim Harbaugh,Dexter King,Penn State football,NFL playoff picture,Doc Rivers,Pete Carroll,Ecuador,Lipid,Super Bowl,Rickey Smiley,8145.85009765625,8171.97021484375,8059.2900390625,8161.7900390625,7414560000,155.5498046875
2019-07-07,Dallas Cowboys,Jim Harbaugh,Super Bowl 2024,Kansas City Chiefs,Nick Saban retiring,Ohio State football,Adam Harrison,Vince McMahon,NFL Games Today,"Perry, Iowa",Alabama vs Michigan,Jason Kelce retire,New Year's Day,Powerball,Adan Canto,Oscar nominations 2024,Dexter King,NFL playoff picture,Pete Carroll,Super Bowl,Penn State football,Doc Rivers,Ecuador,Rickey Smiley,Lipid,8112.91015625,8245.66015625,8061.31982421875,8244.1396484375,9701880000,82.349609375
2019-07-14,Ohio State football,Alabama vs Michigan,"Perry, Iowa",Powerball,Kansas City Chiefs,Dallas Cowboys,Jim Harbaugh,Nick Saban retiring,New Year's Day,Oscar nominations 2024,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,NFL Games Today,Jason Kelce retire,Rickey Smiley,Dexter King,Ecuador,NFL playoff picture,Doc Rivers,Lipid,Penn State football,Super Bowl,Pete Carroll,8263.1796875,8264.7802734375,8135.1201171875,8146.490234375,9581740000,-97.6494140625
2019-07-21,Jason Kelce retire,Powerball,Nick Saban retiring,Ohio State football,Oscar nominations 2024,Adan Canto,Dallas Cowboys,"Perry, Iowa",New Year's Day,Kansas City Chiefs,Alabama vs Michigan,Super Bowl 2024,Adam Harrison,Vince McMahon,NFL Games Today,Jim Harbaugh,Dexter King,Penn State football,Ecuador,Doc Rivers,Lipid,Rickey Smiley,NFL playoff picture,Super Bowl,Pete Carroll,8171.990234375,8339.6396484375,8171.5400390625,8330.2099609375,9692360000,183.7197265625
2019-07-28,Nick Saban retiring,Jim Harbaugh,Kansas City Chiefs,"Perry, Iowa",Adam Harrison,Super Bowl 2024,Oscar nominations 2024,Jason Kelce retire,Powerball,New Year's Day,Alabama vs Michigan,NFL Games Today,Dallas Cowboys,Vince McMahon,Adan Canto,Ohio State football,Ecuador,Penn State football,Pete Carroll,Super Bowl,Rickey Smiley,Lipid,Dexter King,Doc Rivers,NFL playoff picture,8325.099609375,8325.2802734375,7953.669921875,8004.06982421875,11533790000,-326.14013671875
2019-08-04,Ohio State football,NFL Games Today,Powerball,New Year's Day,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Oscar nominations 2024,Adan Canto,Jason Kelce retire,"Perry, Iowa",Jim Harbaugh,Alabama vs Michigan,Dallas Cowboys,Nick Saban retiring,Vince McMahon,Rickey Smiley,Ecuador,Lipid,Doc Rivers,Penn State football,NFL playoff picture,Dexter King,Pete Carroll,Super Bowl,7823.330078125,8041.1201171875,7662.89990234375,7959.14013671875,12013700000,-44.9296875
2019-08-11,Powerball,Oscar nominations 2024,Jim Harbaugh,"Perry, Iowa",New Year's Day,Ohio State football,NFL Games Today,Dallas Cowboys,Adam Harrison,Adan Canto,Vince McMahon,Super Bowl 2024,Nick Saban retiring,Jason Kelce retire,Alabama vs Michigan,Kansas City Chiefs,Penn State football,NFL playoff picture,Ecuador,Doc Rivers,Dexter King,Pete Carroll,Rickey Smiley,Lipid,Super Bowl,7907.490234375,8065.240234375,7716.5498046875,7895.990234375,11175680000,-63.14990234375
2019-08-18,Nick Saban retiring,Kansas City Chiefs,"Perry, Iowa",Alabama vs Michigan,Jason Kelce retire,Adam Harrison,Oscar nominations 2024,Adan Canto,Dallas Cowboys,NFL Games Today,Powerball,Jim Harbaugh,Ohio State football,New Year's Day,Super Bowl 2024,Vince McMahon,Ecuador,Rickey Smiley,Pete Carroll,Doc Rivers,Super Bowl,Penn State football,Lipid,NFL playoff picture,Dexter King,8006.18017578125,8048.580078125,7730.77001953125,7751.77001953125,9413710000,-144.22021484375
2019-08-25,Powerball,Jason Kelce retire,Kansas City Chiefs,NFL Games Today,Jim Harbaugh,Ohio State football,Oscar nominations 2024,"Perry, Iowa",New Year's Day,Nick Saban retiring,Vince McMahon,Adan Canto,Alabama vs Michigan,Super Bowl 2024,Adam Harrison,Dallas Cowboys,Ecuador,Dexter King,Doc Rivers,Super Bowl,Rickey Smiley,Penn State football,Pete Carroll,Lipid,NFL playoff picture,7829.580078125,8017.91015625,7766.669921875,7962.8798828125,8642240000,211.10986328125
2019-09-01,Oscar nominations 2024,Vince McMahon,Alabama vs Michigan,NFL Games Today,Adan Canto,Jim Harbaugh,Kansas City Chiefs,Ohio State football,Dallas Cowboys,Super Bowl 2024,Powerball,"Perry, Iowa",Adam Harrison,New Year's Day,Nick Saban retiring,Jason Kelce retire,Doc Rivers,Ecuador,Rickey Smiley,NFL playoff picture,Dexter King,Lipid,Penn State football,Super Bowl,Pete Carroll,7906.43994140625,8134.419921875,7847.31982421875,8103.06982421875,7819950000,140.18994140625
2019-09-08,Jason Kelce retire,Nick Saban retiring,Ohio State football,NFL Games Today,Kansas City Chiefs,Dallas Cowboys,"Perry, Iowa",Powerball,New Year's Day,Adan Canto,Super Bowl 2024,Alabama vs Michigan,Oscar nominations 2024,Vince McMahon,Jim Harbaugh,Adam Harrison,Penn State football,Rickey Smiley,Ecuador,NFL playoff picture,Super Bowl,Dexter King,Doc Rivers,Lipid,Pete Carroll,8130.91015625,8243.7998046875,8001.68017578125,8176.7099609375,11088020000,73.64013671875
2019-09-15,"Perry, Iowa",Jason Kelce retire,Powerball,NFL Games Today,Vince McMahon,New Year's Day,Dallas Cowboys,Oscar nominations 2024,Adan Canto,Ohio State football,Super Bowl 2024,Nick Saban retiring,Adam Harrison,Alabama vs Michigan,Kansas City Chiefs,Jim Harbaugh,NFL playoff picture,Rickey Smiley,Penn State football,Lipid,Super Bowl,Dexter King,Doc Rivers,Ecuador,Pete Carroll,8121.64013671875,8237.4296875,8086.16015625,8117.669921875,10961140000,-59.0400390625
2019-09-22,Vince McMahon,New Year's Day,Ohio State football,"Perry, Iowa",Adan Canto,NFL Games Today,Super Bowl 2024,Nick Saban retiring,Oscar nominations 2024,Dallas Cowboys,Powerball,Kansas City Chiefs,Jim Harbaugh,Alabama vs Michigan,Jason Kelce retire,Adam Harrison,Doc Rivers,Rickey Smiley,Pete Carroll,Ecuador,NFL playoff picture,Penn State football,Lipid,Dexter King,Super Bowl,8106.490234375,8158.830078125,7890.27978515625,7939.6298828125,10042330000,-178.0400390625
2019-09-29,"Perry, Iowa",Jim Harbaugh,Kansas City Chiefs,Adam Harrison,Vince McMahon,Powerball,Alabama vs Michigan,Jason Kelce retire,Dallas Cowboys,Oscar nominations 2024,Adan Canto,New Year's Day,NFL Games Today,Ohio State football,Nick Saban retiring,Super Bowl 2024,Super Bowl,Rickey Smiley,Lipid,Ecuador,Dexter King,Penn State football,Doc Rivers,Pete Carroll,NFL playoff picture,7964.08984375,8062.5,7700.0,7982.47021484375,10468400000,42.84033203125
2019-10-06,Ohio State football,Adan Canto,NFL Games Today,Vince McMahon,New Year's Day,Nick Saban retiring,Dallas Cowboys,Super Bowl 2024,Oscar nominations 2024,Alabama vs Michigan,Kansas City Chiefs,Jason Kelce retire,Adam Harrison,Powerball,"Perry, Iowa",Jim Harbaugh,Lipid,Ecuador,NFL playoff picture,Super Bowl,Dexter King,Pete Carroll,Rickey Smiley,Doc Rivers,Penn State football,7956.41015625,8115.7998046875,7823.72998046875,8057.0400390625,9245040000,74.56982421875
2019-10-13,New Year's Day,Alabama vs Michigan,Powerball,Vince McMahon,Oscar nominations 2024,Kansas City Chiefs,Jason Kelce retire,Ohio State football,Dallas Cowboys,Adan Canto,Jim Harbaugh,"Perry, Iowa",Nick Saban retiring,Adam Harrison,NFL Games Today,Super Bowl 2024,Super Bowl,Pete Carroll,Penn State football,Dexter King,Doc Rivers,Ecuador,NFL playoff picture,Rickey Smiley,Lipid,8044.35009765625,8183.64013671875,8036.41015625,8089.5400390625,9049410000,32.5
2019-10-20,Jason Kelce retire,Super Bowl 2024,Vince McMahon,Alabama vs Michigan,New Year's Day,Kansas City Chiefs,NFL Games Today,"Perry, Iowa",Nick Saban retiring,Jim Harbaugh,Ohio State football,Adam Harrison,Adan Canto,Powerball,Oscar nominations 2024,Dallas Cowboys,Dexter King,Rickey Smiley,Penn State football,Doc Rivers,Ecuador,Lipid,Pete Carroll,Super Bowl,NFL playoff picture,8137.419921875,8249.9697265625,8078.35009765625,8243.1201171875,9234890000,153.580078125
2019-10-27,Powerball,New Year's Day,Jim Harbaugh,Oscar nominations 2024,Ohio State football,Adan Canto,NFL Games Today,Kansas City Chiefs,"Perry, Iowa",Alabama vs Michigan,Dallas Cowboys,Super Bowl 2024,Adam Harrison,Vince McMahon,Nick Saban retiring,Jason Kelce retire,Doc Rivers,Penn State football,Ecuador,Dexter King,Lipid,Pete Carroll,Super Bowl,NFL playoff picture,Rickey Smiley,8285.76953125,8386.75,8241.7001953125,8386.400390625,10086190000,143.2802734375
2019-11-03,Powerball,Oscar nominations 2024,Jim Harbaugh,Ohio State football,NFL Games Today,"Perry, Iowa",New Year's Day,Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,Nick Saban retiring,Dallas Cowboys,Jason Kelce retire,Adan Canto,Vince McMahon,Pete Carroll,Ecuador,Super Bowl,Dexter King,Penn State football,NFL playoff picture,Rickey Smiley,Doc Rivers,Lipid,8445.5,8483.16015625,8379.330078125,8475.3095703125,11222640000,88.9091796875
2019-11-10,Vince McMahon,Ohio State football,New Year's Day,"Perry, Iowa",Dallas Cowboys,Adan Canto,Powerball,Super Bowl 2024,Oscar nominations 2024,Jason Kelce retire,Adam Harrison,Nick Saban retiring,Kansas City Chiefs,Jim Harbaugh,NFL Games Today,Alabama vs Michigan,Super Bowl,Ecuador,Dexter King,Doc Rivers,Rickey Smiley,NFL playoff picture,Penn State football,Pete Carroll,Lipid,8431.259765625,8540.830078125,8425.48046875,8540.830078125,10214070000,65.5205078125
2019-11-17,Kansas City Chiefs,Jason Kelce retire,Powerball,Ohio State football,Adan Canto,New Year's Day,Oscar nominations 2024,Alabama vs Michigan,Vince McMahon,Super Bowl 2024,NFL Games Today,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,"Perry, Iowa",Adam Harrison,Dexter King,NFL playoff picture,Doc Rivers,Penn State football,Rickey Smiley,Lipid,Pete Carroll,Super Bowl,Ecuador,8529.16015625,8589.759765625,8468.6298828125,8519.8798828125,10715520000,-20.9501953125
2019-11-24,Kansas City Chiefs,Nick Saban retiring,Ohio State football,Powerball,Alabama vs Michigan,NFL Games Today,Oscar nominations 2024,"Perry, Iowa",Adan Canto,Jim Harbaugh,Dallas Cowboys,Adam Harrison,Jason Kelce retire,New Year's Day,Super Bowl 2024,Vince McMahon,Rickey Smiley,Super Bowl,Doc Rivers,Dexter King,Penn State football,NFL playoff picture,Ecuador,Lipid,Pete Carroll,8559.650390625,8705.91015625,8559.650390625,8665.4697265625,7549730000,145.58984375
2019-12-01,"Perry, Iowa",New Year's Day,Adan Canto,Ohio State football,Jason Kelce retire,Vince McMahon,Super Bowl 2024,Powerball,Alabama vs Michigan,Adam Harrison,Dallas Cowboys,Jim Harbaugh,Kansas City Chiefs,Oscar nominations 2024,Nick Saban retiring,NFL Games Today,Ecuador,Penn State football,NFL playoff picture,Rickey Smiley,Lipid,Dexter King,Super Bowl,Pete Carroll,Doc Rivers,8672.83984375,8672.83984375,8435.400390625,8656.5302734375,10908330000,-8.939453125
2019-12-08,Powerball,Vince McMahon,NFL Games Today,Nick Saban retiring,New Year's Day,Alabama vs Michigan,Jim Harbaugh,"Perry, Iowa",Ohio State football,Kansas City Chiefs,Dallas Cowboys,Jason Kelce retire,Adam Harrison,Oscar nominations 2024,Super Bowl 2024,Adan Canto,Rickey Smiley,Ecuador,Doc Rivers,Lipid,Pete Carroll,Penn State football,NFL playoff picture,Dexter King,Super Bowl,8650.8603515625,8768.8701171875,8600.8203125,8734.8798828125,10780740000,78.349609375
2019-12-15,Nick Saban retiring,Ohio State football,Alabama vs Michigan,Vince McMahon,Powerball,Adam Harrison,NFL Games Today,Dallas Cowboys,"Perry, Iowa",Adan Canto,Jim Harbaugh,New Year's Day,Super Bowl 2024,Kansas City Chiefs,Oscar nominations 2024,Jason Kelce retire,Doc Rivers,NFL playoff picture,Super Bowl,Rickey Smiley,Ecuador,Penn State football,Lipid,Pete Carroll,Dexter King,8791.3095703125,8931.91015625,8789.76953125,8924.9599609375,13769920000,190.080078125
2019-12-22,Super Bowl 2024,New Year's Day,Oscar nominations 2024,Jason Kelce retire,Powerball,Ohio State football,"Perry, Iowa",Nick Saban retiring,Dallas Cowboys,Vince McMahon,Adam Harrison,Alabama vs Michigan,Jim Harbaugh,NFL Games Today,Adan Canto,Kansas City Chiefs,Penn State football,Super Bowl,Doc Rivers,Dexter King,Lipid,Rickey Smiley,Ecuador,Pete Carroll,NFL playoff picture,8950.2001953125,9052.0,8934.3603515625,9006.6201171875,6516900000,81.66015625
2019-12-29,New Year's Day,Oscar nominations 2024,Jason Kelce retire,Alabama vs Michigan,Kansas City Chiefs,Vince McMahon,"Perry, Iowa",Adan Canto,Jim Harbaugh,Nick Saban retiring,Super Bowl 2024,NFL Games Today,Ohio State football,Powerball,Dallas Cowboys,Adam Harrison,Dexter King,Super Bowl,Penn State football,Doc Rivers,NFL playoff picture,Rickey Smiley,Pete Carroll,Lipid,Ecuador,9004.4501953125,9093.4296875,8909.1904296875,9020.76953125,9687370000,14.1494140625
2020-01-05,Powerball,Oscar nominations 2024,Adam Harrison,Super Bowl 2024,Adan Canto,Jason Kelce retire,Vince McMahon,NFL Games Today,"Perry, Iowa",Alabama vs Michigan,Dallas Cowboys,Nick Saban retiring,Kansas City Chiefs,Ohio State football,New Year's Day,Jim Harbaugh,Ecuador,Doc Rivers,Dexter King,Super Bowl,Lipid,Pete Carroll,Penn State football,NFL playoff picture,Rickey Smiley,8943.5,9235.2001953125,8943.5,9178.8603515625,12588670000,158.0908203125
2020-01-12,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,New Year's Day,Powerball,"Perry, Iowa",Super Bowl 2024,Dallas Cowboys,Vince McMahon,Jason Kelce retire,Adan Canto,Jim Harbaugh,NFL Games Today,Nick Saban retiring,Ohio State football,Oscar nominations 2024,Doc Rivers,Super Bowl,Penn State football,Pete Carroll,NFL playoff picture,Lipid,Rickey Smiley,Dexter King,Ecuador,9213.7197265625,9393.48046875,9193.0595703125,9388.9404296875,12387850000,210.080078125
