"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 10- 01","46.59","45.38","50.92","42.58","8.31M","3.33%"
"2015- 09- 01","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"2015- 08- 01","49.20","46.86","49.33","37.75","8.24M","4.41%"
"2015- 07- 01","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"2015- 06- 01","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"2015- 05- 01","60.30","59.79","62.58","56.51","6.34M","1.12%"
"2015- 04- 01","59.63","47.55","59.85","47.05","7.63M","25.27%"
"2015- 03- 01","47.60","49.45","52.48","42.03","7.69M","-4.34%"
"2015- 02- 01","49.76","47.59","54.24","46.67","8.46M","3.15%"
"2015- 01- 01","48.24","53.76","55.11","43.58","7.31M","-9.44%"
"2014- 12- 01","53.27","66.00","69.54","52.44","6.56M","-19.47%"
"2014- 11- 01","66.15","80.59","80.98","65.69","5.85M","-17.87%"
"2014- 10- 01","80.54","91.36","92.96","79.44","7.17M","-11.65%"
"2014- 09- 01","91.16","95.81","95.91","90.43","5.56M","-5.00%"
"2014- 08- 01","95.96","97.70","98.67","92.50","4.59M","-2.25%"
"2014- 07- 01","98.17","105.44","106.09","97.60","5.14M","-6.83%"
"2014- 06- 01","105.37","102.92","107.73","101.60","4.12M","2.59%"
"2014- 05- 01","102.71","99.72","104.50","98.74","4.38M","2.98%"
"2014- 04- 01","99.74","101.53","104.99","98.86","4.71M","-1.81%"
"2014- 03- 01","101.58","103.00","105.22","97.37","4.59M","-0.98%"
"2014- 02- 01","102.59","97.40","103.80","96.26","3.93M","5.23%"
"2014- 01- 01","97.49","98.50","98.97","91.24","4.49M","-0.94%"
"2013- 12- 01","98.42","92.71","100.75","92.56","3.66M","6.15%"
"2013- 11- 01","92.72","96.32","96.65","91.77","4.51M","-3.80%"
"2013- 10- 01","96.38","102.31","104.38","95.95","5.14M","-5.81%"
"2013- 09- 01","102.33","107.07","110.70","101.05","4.58M","-4.94%"
"2013- 08- 01","107.65","105.26","112.24","102.22","5.30M","2.49%"
"2013- 07- 01","105.03","96.58","109.32","96.07","5.38M","8.77%"
"2013- 06- 01","96.56","91.73","99.01","91.26","4.92M","4.99%"
"2013- 05- 01","91.97","93.08","97.17","90.11","5.87M","-1.59%"
"2013- 04- 01","93.46","97.36","97.80","85.61","5.43M","-3.88%"
"2013- 03- 01","97.23","91.76","97.35","89.33","4.03M","5.63%"
"2013- 02- 01","92.05","97.42","98.15","91.57","4.12M","-5.58%"
"2013- 01- 01","97.49","91.78","98.24","91.52","4.38M","6.18%"
